Key,English [en-GB]
SCENARIO_JOB_DemonAltars_Room_2_2,There’s a set of pressure plates here too. I’m sure you’ll find more Demon Altars once you trigger them!
SCENARIO_JOB_DemonAltars_Start_1,"I hate Demons… so spidery… Thankfully, they do not naturally exist in our realm, and especially not in such numbers."
SCENARIO_JOB_DemonAltars_Start_2,There is something allowing them in – you’ll need to find it and destroy it to curb this infestation.
SCENARIO_JOB_DemonAltars_Start_3,Those pressure plates aren’t natural. I’m willing to bet that whatever is causing this is behind whatever they open!
SCENARIO_JOB_DemonAltars_Success_1,"As the last Altar is destroyed, the Demons dissipate back into their realm. You are left alone in an empty room inside an empty cave."
SCENARIO_JOB_DemonAltars_Success_2,"Those Altars were placed here, and hidden purposefully. I have a feeling this won’t be the only time you’ll be doing a job like this.<br>"
SCENARIO_JOB_DemonicDissent_SM1_DESC,At the start of each round Light & Dark Elements are set to Strong 
SCENARIO_JOB_DemonicDissent_Start_1,"As expected, you find Demons in the first room. What you don’t expect is that they are fighting each other! This must be the cause of the tremors."
SCENARIO_JOB_DemonicDissent_Start_2,There are many Demons here. Use their disagreements to help you defeat them all.
SCENARIO_JOB_DemonicDissent_Success_1,"Now the Demons have been defeated, the tremors stop. You can now go and claim your reward."
SCENARIO_JOB_DungeonOfMisfortune_Start_1,"What a strange place, with magical enemies. You’ll have to move quickly to reach the treasure, but be sure to kill enough enemies on the way."
SCENARIO_JOB_DungeonOfMisfortune_Success_1,A new item is always welcome!
SCENARIO_JOB_FellHounds_Room_2_1,"Passing into a second clearing, you spot Cultists performing a ritual. So this is the source of the outbreak!"
SCENARIO_JOB_FellHounds_SM1_DESC,All Hounds have Poisonous Attacks
SCENARIO_JOB_FellHounds_Start_1,"The forest opens out to an area with an unpleasant sight: Hounds, feasting on bloated corpses. No wonder they are diseased."
SCENARIO_JOB_FellHounds_Start_2,"As you press forwards to kill the dogs, the corpses rise up. Necromancy!"
SCENARIO_JOB_FellHounds_Start_3,"Those dogs are not well, best try and avoid being bitten."
SCENARIO_JOB_FellHounds_Start_4,I think you might be stating the obvious there...
SCENARIO_JOB_FellHounds_Success_1,It seems the Cultists were using the hounds to spread a disease that turns people into the undead. It’s probably best if you torch everything here.
SCENARIO_JOB_FireCult_Start_1,"Flame Demons, Spitting Drakes, Bone Rangers… these creatures could level entire villages! Don’t let anything leave alive!"
SCENARIO_JOB_FireCult_Success_1,The air cools as the last Cultist is slain. A heretical weight feels lifted from this place. 
SCENARIO_JOB_FireCult_Success_2,Cultists always seem to be doing something needlessly reckless. I doubt this will be the only group summoning monsters that you’ll come across. 
SCENARIO_JOB_MindControl_Start_1,"As you step out, you notice none of the Bandits are moving. They do not react. You are about to investigate further, when the nearest one strains a whisper."
SCENARIO_JOB_MindControl_Start_2,"Run, run away. The Imps control us, we can’t…."
SCENARIO_JOB_MindControl_Start_3,"At that moment an Imp flies out, laughing. The Bandits suddenly react and charge into battle."
SCENARIO_JOB_MindControl_Start_4,"Take down the Imps, and surely the Bandits will stop fighting."
SCENARIO_JOB_MindControl_Success_1,"As the last Imp dies, the Bandits suddenly stop attacking you."
SCENARIO_JOB_MindControl_Success_2,"Thank you, we... we had no control of our actions. This bandit life isn’t for me no more, I’m going back to work in a pub!"
SCENARIO_JOB_SNAKES_UNDEAD_MAP_INTRO,"You accept the job to clear a crypt of Giant Snakes, which sounds like a routine job. When you meet the landowner who offered the job, he seems a little vague about the actual problem: yes, there are snakes, but he’s cagey about anything else down there. He insists the job is just to clear an old crypt. You reluctantly agree and head to the area. The crypt seems normal enough from the outside, and as you head in, you see discarded snakeskin..."
SCENARIO_JOB_SNAKES_UNDEAD_SCENARIO_INTRO,There are certainly snakes here... But the landowner forgot to mention the Undead...
SCENARIO_JOB_SNAKES_UNDEAD_SCENARIO_OUTRO,"Snakes or Undead, as long as the pay is enough, we’ll kill anything."
SCENARIO_JOB_SavvasAid_Start_1,We are here. Help me reclaim this sacred place.
SCENARIO_JOB_SavvasAid_Start_2,"You heard the Savvas: Keep them safe, and clear the animals out!<br>"
SCENARIO_JOB_SavvasAid_Success_1,"With the animals dead or driven away, the Savvas solemnly hands you a coin purse. After a brief discussion they enter the temple, leaving you to go on your way."
SCENARIO_JOB_SavvasAid_Success_2,It seems the Savvas are discovering more and more of their history around Gloomhaven. We should expect to hear from more Savvas that require our services.
SCENARIO_JOB_SavvasInfighting_Start_1,"It appears these Savvas are fighting over which discipline is the most powerful, and are catching villages in the crossfire..."
SCENARIO_JOB_SavvasInfighting_Start_2,"Luckily for us, they seem to be just as eager to fight each other as they are to fight you. Use this to your advantage as you drive them away!"
SCENARIO_JOB_SavvasInfighting_Success_1,"As another Savvas falls, the others begin to retreat in disbelief. The local settlements are safe, for now.<br>"
SCENARIO_JOB_SavvasInfighting_Success_2,"These Savvas’ pursuit of power led them to fight each other without regard for those they deem inferior, and it seems many of them feel this way. I don’t think this will be the last group of warring Savvas you encounter."
SCENARIO_JOB_THEDJINNPALACE_START_1,"These undead are going to spawn all night, so your objective is staying alive!"
SCENARIO_JOB_THEDJINNPALACE_SUCCESS,"The Tinkerer seems overjoyed with the data he has collected, and the local villagers will also reward you with some gold. A night well spent!"
SCENARIO_JOB_TheHaunting_Start_1,"You follow the spirits down a winding passageway, until it opens out into a room, filled with a swarm of Demons."
SCENARIO_JOB_TheHaunting_Start_2,"It seems that the Spirits will aid you in this quest, but one must survive for them to be able to finally rest."
SCENARIO_JOB_TheHaunting_Success_1,"As the last Demon dies, the spirits dissipate, finally at peace."
SCENARIO_JOB_TheStoneMan_Start_1,The Bandits charge out of the forest. They have brought Hounds and Snakes!
SCENARIO_JOB_TheStoneMan_Success_1,"The remaining Bandits have decided their payday isn’t big enough after all, they’d rather stay alive, and so they retreat into the forest."
SCENARIO_JOB_TheVaultsOfPus_SM1_DESC,All Heroes start Poisoned
SCENARIO_JOB_TheVaultsOfPus_Start_1,You enter the crypt and see Cultists hastily trying to raise an army of undead... but apparently the family buried here were of the larger persuasion.
SCENARIO_JOB_TheVaultsOfPus_Success_1,"The crypt is safe once more. Perhaps in future, the owners might put a stronger padlock on the door. One can only hope."
SCENARIO_JOB_TwoTribes_Start_1,You arrive to the sounds of pitched battle. The confrontation has already begun.
SCENARIO_JOB_TwoTribes_Start_2,"There are a lot of troops on both sides, and the fight is taking place on multiple fronts."
SCENARIO_JOB_TwoTribes_Start_3,"You’ll need to both stay out of combat if you can, while continuing through the forest!"
SCENARIO_JOB_TwoTribes_Success_1,"The forest floor is littered with bodies, but you emerge triumphant."
SCENARIO_JOB_VERMLING_CAVE_SM1_DESC,All Enemies have Poison & Wound on their Attacks
SCENARIO_JOB_VERMLING_CAVE_SM2_DESC,All Enemies start Poisoned & Wounded
SCENARIO_PUZZLE_2A_01,"Welcome to your first training mission! You've learned the basics, but now you must help the gravely wounded <color=#A06E4B><b>Brute</b></color> deal with a <nobr><color=#C53F3F><b>Bandit Archer <link=""Glossary_Elite"">Elite</link></b></color></nobr>, a stronger enemy with greater stats than normal!"
SCENARIO_PUZZLE_2A_02,"With only a single hit point remaining, any amount of damage getting through will cause the Brute to become <b><color=#FADC99><link=""Glossary_Exhausted"">exhausted</link></color></b>. As such, you will have to avoid any incoming damage by <b><color=#FADC99><link=""Glossary_Lost"">burn</link></color></b>ing cards.<br><br>(For the sake of training, the attack modifier decks will be all <b><color=#FFA414>+0</color></b>s, so don't worry about those for now.)"
SCENARIO_PUZZLE_2A_03,"Your objectives to start are:<br><line-height=20%> <br></line-height>• Take down the <b><color=#C53F3F>Archer</color></b> with a single <nobr><link=""Glossary_Attack""><b><color=#FADC99>Attack</color></b> <sprite name=Attack></link></nobr><br>• <nobr><link=""Glossary_Loot""><b><color=#FADC99>Loot</color></b> <sprite name=Loot></link></nobr> the gold she drops<br><line-height=20%> <br></line-height>Surely you can handle that!"
SCENARIO_PUZZLE_2A_04,"Whoops. The <b><color=#A06E4B>Brute</color></b> had only one hit point remaining which means you couldn’t afford to take any more damage... Try again, but this time choose to <b><color=#FADC99><link=""Glossary_Lost"">burn</link></color></b> one of your available cards to avoid the damage."
SCENARIO_PUZZLE_2A_05,"Nice work on not dying, but the objective was to kill the <nobr><color=#C53F3F><b>Bandit Archer <link=""Glossary_Elite"">Elite</link></b></color></nobr>. Perhaps there's an ability card you could use with an <nobr><b><color=#FADC99><link=""Glossary_Attack"">Attack</link></color></b> <sprite name=Attack></nobr> that will do enough damage in one go? Have another try."
SCENARIO_PUZZLE_2A_06,"Bosh! <nobr><b><font=""MarcellusAlt SDF""><color=#F5E3B0>Overwhelming Assault</color></font></b></nobr> is a powerful card, but such power comes at a cost. <b><color=#FADC99><link=""Glossary_Action"">Actions</link></color></b> like <nobr><b><font=""MarcellusAlt SDF""><color=#F5E3B0>Overwhelming Assault</color></font></b>'s</nobr> top half with the flaming card icon in the corner cause the card to be <b><color=#FADC99><link=""Glossary_Lost"">burned</link></color></b> once used, meaning you can’t use it again in this scenario. Time to grab that gold!"
SCENARIO_PUZZLE_2A_07,"Good job. With no enemies left and your objectives complete, the scenario normally would have ended already, leaving that chest behind. However, for the sake of training, I'm going to set you another objective: <b><color=#FADC99><link=""Glossary_Loot"">Loot</link></color></b> the chest!"
SCENARIO_PUZZLE_2A_08,"Before you rush headlong into that trap, you might want to heal up a bit first. I’d suggest taking a <b><color=#FADC99>Long Rest</color></b> which will let you <b><color=#FADC99><link=""Glossary_Heal"">Heal</link></color></b> <b>2</b> and recover enough discarded cards, allowing you to withstand the <b>2</b> damage from the trap and reach the chest."
SCENARIO_PUZZLE_2A_09,"Ouch! A <color=#FADC99><b>Short Rest</b></color> is great when you need some cards immediately, but lacks the healing component of a <b><color=#FADC99>Long Rest</color></b>... Be sure to select the right rest next time!"
SCENARIO_PUZZLE_2A_10,"What about <b><color=#FADC99><link=""Glossary_Loot"">Loot</link></color></b>ing the chest? It may sound painful, but you'll have to step on that trap to reach it next time."
SCENARIO_PUZZLE_2A_11,"Ooh, those <font=""MarcellusAlt SDF""><b><color=#F8F8F8>Boots of Striding</color></b></font> will come in handy next time you need a little extra mobility. Right, onto the next part of your training!"
SCENARIO_PUZZLE_2A_12,Mercenaries that leave gold behind don't tend to be particularly successful; remember to end the turn on gold when you have the opportunity!
SCENARIO_PUZZLE_2A_13,"You need to be able to move onto the gold to <nobr><b><color=#FADC99><link=""Glossary_Loot"">Loot</link></color></b> <sprite name=Loot></nobr> it after you kill the <b><color=#C53F3F>Archer</color></b>. Perhaps there's an ability card you could use with an <nobr><b><color=#FADC99><link=""Glossary_Attack"">Attack</link></color></b> <sprite name=Attack></nobr> that will do enough damage in one hit? Have another go."
SCENARIO_PUZZLE_2A_HT_01,Burn a card to avoid the damage
SCENARIO_PUZZLE_2A_HT_02,Select a discarded card to burn
SCENARIO_PUZZLE_2A_HT_03,Move onto the trap and take the damage
SCENARIO_PUZZLE_2A_HT_04,Move onto the chest and skip any remaining movement
SCENARIO_PUZZLE_2A_HT_05,Select a remaining action and skip it to end your turn
SCENARIO_PUZZLE_2A_OBJ_01,Kill the Archer in a single Attack
SCENARIO_PUZZLE_2A_OBJ_03,Loot the Archer's gold
SCENARIO_PUZZLE_2A_OBJ_04,Perform a Long Rest
SCENARIO_PUZZLE_2A_OBJ_05,Loot the chest
SCENARIO_PUZZLE_2A_TB_01,
SCENARIO_PUZZLE_2A_TB_02,
SCENARIO_PUZZLE_2B_01,"So, you've learned about the basic <b><color=#FADC99><link=""Glossary_Attack"">Attack</link></color></b> and <b><color=#FADC99><link=""Glossary_Move"">Move</link></color></b> abilities, but this time we're going to use some abilities with <b><color=#FADC99>additional effects</color></b>."
SCENARIO_PUZZLE_2B_02,"A <b><color=#FADC99><link=""Glossary_Move"">Move</link></color></b> action with a <nobr><b><color=#FADC99><link=""Glossary_Jump"">Jump</link></color></b> <sprite name=Jump></nobr> effect will help you here. <nobr><b><color=#FADC99><link=""Glossary_Jump"">Jump</link></color></b> <sprite name=Jump></nobr> allows you to cross tiles containing obstacles or enemies and even move over traps without triggering them — provided you can reach an empty hex to land on."
SCENARIO_PUZZLE_2B_03,"Those <nobr><b><font=""MarcellusAlt SDF""><color=#F8F8F8>Boots of Striding</color></font></b></nobr> you picked up last time can be used to increase a <b><color=#FADC99><link=""Glossary_Move"">Move</link></color></b> ability by 2 hexes. That'll enable you to get up close and personal this turn."
SCENARIO_PUZZLE_2B_04,"You don't have the damage to take her out in one go, but if you act fast you could apply the <nobr><link=""Glossary_Disarm""><b><color=#FADC99>Disarm</color></b> <sprite name=Disarm></link></nobr> condition to her before she can <b><color=#FADC99><link=""Glossary_Attack"">Attack</link></color></b>!"
SCENARIO_PUZZLE_2B_05,"Your objectives for this first round are:<br><line-height=20%> <br></line-height>• Use a <nobr><link=""Glossary_Jump""><b><color=#FADC99>Jump</color></b> <sprite name=Jump></link></nobr> movement to get across the traps unscathed.<br>• <color=#FADC99><link=""Glossary_Disarm""><b>Disarm</b></link></color> the <b><color=#C53F3F>Archer</color></b> before she attacks.<br><line-height=20%> <br></line-height> Good luck! "
SCENARIO_PUZZLE_2B_06,She’s nimble and long-ranged with that bow. You need to act quickly and get up close and personal — remember to use the Boots!
SCENARIO_PUZZLE_2B_07,"The key here is to get across that trap, and to do that you’ll need a <nobr><link=""Glossary_Move""><b><color=#FADC99>Move</color></b> <sprite name=Move></link></nobr> with the <nobr><link=""Glossary_Jump""><b><color=#FADC99>Jump</color></b> <sprite name=Jump></link></nobr> effect to avoid the damage."
SCENARIO_PUZZLE_2B_08,"You did it! Not only did you get a decent hit in with <nobr><b><font=""MarcellusAlt SDF""><color=#F5E3B0>Provoking Roar</color></font></b></nobr> but thanks to the <nobr><link=""Glossary_Disarm""><b><color=#FADC99>Disarm</color></b> <sprite name=Disarm></link></nobr> condition you applied, the <b><color=#C53F3F>Archer</color></b> couldn’t attack for the turn."
SCENARIO_PUZZLE_2B_09,"She’s low on health now, so you should be able to finish her off. Your objectives this turn are: <br><line-height=20%> <br></line-height>• Kill the <b><color=#C53F3F>Archer</color></b>.<br>• Jump over the traps and <link=""Glossary_Loot""><b><color=#FADC99>Loot</color></b></link> the chest.<br><line-height=20%> <br></line-height> I want you to achieve both this round!"
SCENARIO_PUZZLE_2B_11,"Remember to ensure the first ability card you choose has a low initiative, as you want act early this round before the <b><color=#C53F3F>Archer</color></b>."
SCENARIO_PUZZLE_2B_12,"I thought I told you to <nobr><link=""Glossary_Loot""><b><color=#FADC99>Loot</color></b> <sprite name=Loot></link></nobr> that chest! You can achieve both objectives this round if you choose your actions wisely."
SCENARIO_PUZZLE_2B_13,"Too tired to <nobr><link=""Glossary_Jump""><b><color=#FADC99>Jump</color></b> <sprite name=Jump></link></nobr> again? Perhaps you need a quick <nobr><link=""Glossary_Rest""><b><color=#FADC99>rest</color></b></link></nobr>... Y'know, to get your cards back, like before?"
SCENARIO_PUZZLE_2B_14,"A rest, stab and a <link=""Glossary_Jump""><b><color=#FADC99>Jump</color></b></link> right onto the chest, nicely done. That potion will surely be of use in the missions to come."
SCENARIO_PUZZLE_2B_15,"Don't forget, during a <nobr><link=""Glossary_Move""><b><color=#FADC99>Move</color></b> <sprite name=Move></link></nobr> ability, you can use <b>item</b>s like your <nobr><b><font=""MarcellusAlt SDF""><color=#F8F8F8>Boots of Striding</color></font></b></nobr> to increase your movement range. "
SCENARIO_PUZZLE_2B_16,"Remember that <link=""Glossary_Short Rest""><b><color=#FADC99>Short Rest</color></b></link>s allow you to recover discarded cards to immediately use in this very turn.<br><br><link=""Glossary_Long Rest""><b><color=#FADC99>Long Rest</color></b></link>ing however takes up the whole turn, and is used instead of selecting two ability cards, giving the character an initiative of 99. In other words, not gonna help you win this round!"
SCENARIO_PUZZLE_2B_OBJ_01,Jump over the traps and disarm the Archer before she attacks
SCENARIO_PUZZLE_2B_OBJ_02,Kill the Archer this round
SCENARIO_PUZZLE_2B_OBJ_03,Jump over the traps and loot the chest
SCENARIO_PUZZLE_2C_01,"To be a successful guildmaster, you need to pay close attention to enemy actions and try plan your moves around them."
SCENARIO_PUZZLE_2C_02,Just one simple objective for you this time:<br><line-height=20%> <br></line-height>• Don't get attacked!<br><line-height=20%> <br></line-height> <br>You’ll have to start over if an enemy manages to land a hit!
SCENARIO_PUZZLE_2C_03,"You’ll need to escape this room by opening the door in front of the <b><color=#A06E4B>Brute</color></b>, but remember that enemies in the next room will also get to act this round."
SCENARIO_PUZZLE_2C_04,"My advice? Act quickly, looking carefully at what actions the enemies are going to take. I've set it up so that you should be able to find a safe place to stand, out of reach from all enemies. Let's see if you can survive!"
SCENARIO_PUZZLE_2C_05,"Looks like the <b><color=#C53F3F>Archer</color></b> got you. You gotta move fast and stay out of her <nobr><link=""Glossary_Range""><b><color=#FADC99>Range</color></b> <sprite name=Range></link></nobr>, be sure to check her card once revealed by hovering the mouse over her. Have another go."
SCENARIO_PUZZLE_2C_06,"Remember that newly revealed enemies still get their go this round in initiative order, once the current turn is over. Now just to find that safe spot..."
SCENARIO_PUZZLE_2C_07,"Excellent, you eluded the enemies in both rooms! Opening a door will always add more enemies to deal with, so make sure you are prepared for that when opening doors in future scenarios."
SCENARIO_PUZZLE_2C_08,Just one more round of bandit dodging to complete the mission!
SCENARIO_PUZZLE_2C_09,You’ll find it tricky to locate a safe space this time. Perhaps you could try preventing an attack to survive?
SCENARIO_PUZZLE_2C_10,"You can get out of reach of those pesky <b><color=#C53F3F>Archer</color></b>s from the first room by moving further into the room, but then how to stop the <b><color=#C53F3F>Guard</color></b> attacking you? Think back to the previous mission!"
SCENARIO_PUZZLE_2C_11,"You avoided the <b><color=#C53F3F>Archer</color></b>, good job!"
SCENARIO_PUZZLE_2C_12,"However you didn’t avoid the <b><color=#C53F3F>Guard</color></b>, that's somewhat less good… I wonder if there is a way to stop him attacking?"
SCENARIO_PUZZLE_2C_13,Excellent stuff. You're well on your way to becoming a professional!
SCENARIO_PUZZLE_2C_14,"And how about that <link=""Glossary_Disarm""><b><color=#FADC99>Disarm</color></b></link> — a pretty powerful condition, eh? That and a nice low initiative of <b>10</b> makes <nobr><font=""MarcellusAlt SDF""><color=#F5E3B0>Provoking Roar</color></font></nobr> a real nifty card for getting out of nasty scrapes."
SCENARIO_PUZZLE_2C_15,"One more test, then I think you’ll be ready to start exploring the world and recruiting mercenaries to our Guild!"
SCENARIO_PUZZLE_2C_16,You got hit! Pay attention to where the enemies are going to move to this turn. You need to avoid all of them!
SCENARIO_PUZZLE_2C_OBJ_1,Don't get attacked for 2 rounds
SCENARIO_PUZZLE_2D_01,"Let’s talk about <b><color=#FADC99>attack modifiers</color></b>. So far in your training, characters have always drawn a <color=#FFA414><b>+0</b></color> <b><color=#FADC99>attack modifier</color></b>, meaning their attacks have always dealt the exact damage value specified on the cards. This is not normally the case!"
SCENARIO_PUZZLE_2D_02,"In real scenarios, for each <link=""Glossary_Attack""><b><color=#FADC99>Attack</color></b></link>, the character will draw an <b><color=#FADC99>attack modifier</color></b> which influences the damage dealt. These can increase the damage by <b><color=#FFA414>+1</color></b>, <b><color=#FFA414>+2</color></b>, or <b><color=#D92727>x2</color></b>, decrease by <b><color=#A050E0>-1</color></b>, <b><color=#A050E0>-2</color></b>, or <b><color=#A050E0>x0</color></b>, or leave the value unaffected as you've seen with a <color=#FFA414><b>+0</b></color>.<br><br>You can see the contents of a character's modifier deck by hovering over any character — note that unlike player characters, all monsters share a single attack modifier deck!"
SCENARIO_PUZZLE_2D_03,"For this training scenario, these <b><color=#C53F3F>Archer</color></b>s have just two attack modifiers remaining in their decks: <b><color=#D92727>x2</color></b> and <b><color=#A050E0>x0</color></b>. We want them to draw the <b><color=#A050E0>x0</color></b> to deal no damage - and we're going to give them <link=""Glossary_Disadvantage""><b><color=#FADC99>Disadvantage</color></b></link> to ensure that!"
SCENARIO_PUZZLE_2D_04,"<link=""Glossary_Range"">Range</link>d <nobr><link=""Glossary_Attack""><b><color=#FADC99>Attack</color></b>s</link></nobr> have <link=""Glossary_Disadvantage""><b><color=#FADC99>Disadvantage</color></b></link> when their target is on an adjacent hex. This forces the attacker to draw two modifier cards instead of just one, and the worst result is selected.<br><br>As these <b><color=#C53F3F>Archer</color></b>s only have two modifiers remaining, if they attack with <link=""Glossary_Disadvantage""><b><color=#FADC99>Disadvantage</color></b></link>, they will draw both but be forced to choose the <b><color=#A050E0>x0</color></b> over the <b><color=#D92727>x2</color></b> as the worse result, dealing no damage! You can see when <link=""Glossary_Disadvantage""><b><color=#FADC99>Disadvantage</color></b></link> will apply from the flashing purple symbol next to the health bar."
SCENARIO_PUZZLE_2D_05,"You can only <link=""Glossary_Disadvantage""><b><color=#FADC99>Disadvantage</color></b></link> one <b><color=#C53F3F>Archer</color></b> here, so kill the other with a Ranged Attack. Should be easy, as the <b><color=#A06E4B>Brute</color></b>’s attack modifier deck is full of <b><color=#FFA414>+1</color></b>s for this mission. You can thank me later.<br><br>Your objectives are: <br><line-height=20%> <br></line-height>• Stand next to one of the <b><color=#C53F3F>Archer</color></b>s to give her <link=""Glossary_Disadvantage""><b><color=#FADC99>Disadvantage</color></b></link><br>• Kill the other <b><color=#C53F3F>Archer</color></b> with a <link=""Glossary_Range"">Range</link>d <link=""Glossary_Attack""><b><color=#FADC99>Attack</color></b></link>"
SCENARIO_PUZZLE_2D_06,"Ouch! That was quite a powerful <link=""Glossary_Attack""><b><color=#FADC99>Attack</color></b></link>! Try again — this time, stand next to one <b><color=#C53F3F>Archer</color></b> and take out the other."
SCENARIO_PUZZLE_2D_07,"See how she drew both the <b><color=#A050E0>x0</color></b> and <b><color=#D92727>x2</color></b> modifiers? <link=""Glossary_Disadvantage""><b><color=#FADC99>Disadvantage</color></b></link> forced her to draw two attack modifiers and use the worst one!"
SCENARIO_PUZZLE_2D_08,"You also saw how your attack with <nobr><b><font=""MarcellusAlt SDF""><color=#F5E3B0>Spare Dagger</color></font></b></nobr> drew a <color=#FFA414><b>+1</b></color>, thus dealing <b>4</b> damage total to take down the other <b><color=#C53F3F>Archer</color></b>."
SCENARIO_PUZZLE_2D_09,Your final objectives are: <br><line-height=20%> <br></line-height>• Kill the remaining <b><color=#C53F3F>Archer</color></b><br>• Loot the Chest
SCENARIO_PUZZLE_2D_10,"You need to go early enough to get the first <link=""Glossary_Attack""><b><color=#FADC99>Attack</color></b></link> in, and then do <b>4</b> damage to her."
SCENARIO_PUZZLE_2D_11,You managed <b>3+1</b> damage last time — remember you have only <color=#FFA414><b>+1</b></color> modifiers for this training mission.
SCENARIO_PUZZLE_2D_12,"Your objective was to <link=""Glossary_Loot""><b><color=#FADC99>Loot</color></b></link> that chest. We might need what's in there for the next mission, make sure you get it!"
SCENARIO_PUZZLE_2D_13,"Nice! A <nobr><b><font=""MarcellusAlt SDF""><color=#F8F8F8>Heater Shield</color></font></b></nobr> should help you soak up some damage! "
SCENARIO_PUZZLE_2D_14,You’ve finished your basic training missions — time to introduce you to the other mercs and get you exploring!
SCENARIO_PUZZLE_2D_OBJ_01,Stand next to one Archer and kill the other
SCENARIO_PUZZLE_2D_OBJ_02,Kill the remaining Archer
SCENARIO_PUZZLE_2D_OBJ_03,Loot the chest this round
SCENARIO_PUZZLE_3A_01,"Let's begin looking more closely at what each individual character can do. In this scenario, <b>Brute</b> has two Level <b>1</b> <b>Living Bones Elites</b> to deal with — which means their stats will be greater than their Level <b>0</b> counterparts.<br><br>Monster stats are combined with a base ability card drawn for the monster class' turn, resulting in the cards you see when the monsters' cards for the round are revealed. So, expect them to move a bit further and attack a bit harder, especially as they are <link=""Glossary_Elite""><b>Elite</b></link>s!"
SCENARIO_PUZZLE_3A_02,"Note how they both have an innate <b><link=""Glossary_Shield"">Shield</link></b> <b>1</b> effect, indicated by the <sprite name=Shield> icon. Each point of <b><link=""Glossary_Shield"">Shield</link></b> prevents one damage from incoming <b><link=""Glossary_Attack"">Attack</link></b>s.<br><br>However, an amount of <b><link=""Glossary_Shield"">Shield</link></b> can be ignored if targeted with an <b><link=""Glossary_Attack"">Attack</link></b> with <b><link=""Glossary_Pierce"">Pierce</link></b> <sprite name=Pierce>."
SCENARIO_PUZZLE_3A_04,"I, err... have it on good authority that these <b>Living Bones</b> are going to attack more than once each this turn. You are low on cards, and won’t be able to afford to burn any cards, so surviving here will require some <b><link=""Glossary_Shield"">Shield</link></b>ing of your own.<br><br>By the way, while these enemy <b><link=""Glossary_Shield"">Shield</link></b>s are an innate persistent effect, normally <b>active bonuses</b> granting abilities such as <b><link=""Glossary_Shield"">Shield</link></b> are accompanied by a <nobr><link=""Glossary_Round""><b>Round</b></link> <sprite name=Round></nobr> or <nobr><link=""Glossary_Persistent""><b>Persistent</b></link> <sprite name=Persistent></nobr> duration icon."
SCENARIO_PUZZLE_3A_05,"See how the <b>Living Bones</b> have an ability card that lets them <nobr><b><link=""Glossary_Target"">Target</link></b> <sprite name=Target></nobr> same enemy multiple times instead of different targets being required? You'll need to get a <b><link=""Glossary_Shield"">Shield</link></b> up to prevent some of the damage."
SCENARIO_PUZZLE_3A_06,"Be sure to use your <nobr><b><font=""MarcellusAlt SDF""><color=#F8F8F8>Minor Healing Potion</color></font></b></nobr> during your turn next time too!"
SCENARIO_PUZZLE_3A_07,Running away isn’t going to help you succeed here. Get back in there and smash them bones!
SCENARIO_PUZZLE_3A_08,"You killed the <b>Living Bones</b>, but as you burned a card, you don’t have enough cards left for the second round. Remember to use the potion and a <b><link=""Glossary_Shield"">Shield</link></b> ability."
SCENARIO_PUZZLE_3A_09,"Yikes, that was quite the onslaught! Nonetheless, your <b><link=""Glossary_Shield"">Shield</link></b> prevented enough damage to keep <b>Brute</b> alive. Phew!"
SCENARIO_PUZZLE_3A_10,"Final objective: Kill the remaining <b>Living Bones</b> - good luck, he’s a tanky one!"
SCENARIO_PUZZLE_3A_11,"A tip for you - perhaps you could use the ol' <b><link=""Glossary_Push"">Push</link></b> and trap combo? Note that <b><link=""Glossary_Shield"">Shield</link></b> only prevents damage from <b><link=""Glossary_Attack"">Attack</link></b>s, but it doesn't do anything against direct damage such as from traps!"
SCENARIO_PUZZLE_3A_12,"He’s not acting too fast this round, so you should be able to deal with him before he gets a chance to kill you!"
SCENARIO_PUZZLE_3A_13,"Remember to Short Rest to get <nobr><font=""MarcellusAlt SDF""><color=#F5E3B0><b>Warding Strength</b></color></font></nobr> back to <b>Push</b> ol' Bones here across the traps."
SCENARIO_PUZZLE_3A_14,"Saved the <b>Brute</b> yet again! I hear he's decided that adventuring alone is not working out for him, so he's agreed to be the first mercenary in your Guild!"
SCENARIO_PUZZLE_3A_15,Let's get out of this dusty crypt and see who else we can recruit.
SCENARIO_PUZZLE_3A_16,"Your objectives are:<br><line-height=20%> <br></line-height>• Kill a <b>Living Bones</b> using an attack with <b><link=""Glossary_Pierce"">Pierce</link></b> <sprite name=Pierce><br>• Apply some <b><link=""Glossary_Shield"">Shield</link></b> <sprite name=Shield> of your own<br>• Use your <nobr><b><font=""MarcellusAlt SDF""><color=#F8F8F8>Minor Healing Potion</color></font></b></nobr><br><line-height=20%> <br></line-height>That should help you survive this round."
SCENARIO_PUZZLE_3A_OBJ_01,Kill a Living Bones using a Pierce <sprite name=Pierce> Attack
SCENARIO_PUZZLE_3A_OBJ_01b,Survive the round by applying Shield <sprite name=Shield> and using a Health Potion
SCENARIO_PUZZLE_3A_OBJ_02,Kill the remaining Living Bones this turn
SCENARIO_PUZZLE_3B_01,"Meet the <b>Scoundrel</b>! She is incredibly nimble and mobile, not to mention able to combo off huge amounts of melee damage when things line up just right. Let's help her out of this sticky situation."
